Alvin,2023-12-22 10:41:28.063361
Alvin,2023-12-22 10:42:34.912563
Alvin,2023-12-22 11:03:20.379151
Alvin,2023-12-22 11:04:05.747648
Alvin,2023-12-22 11:04:58.396149
Alvin,2023-12-22 11:13:00.180032
Alvin,2024-01-18 16:30:05.371973
Alvin,2024-01-18 17:20:25.061093
Alvin\r\n./.tm,2024-01-18 18:23:46.026531
Alvin,2024-01-18 18:24:11.504606
ADI,2024-01-18 18:24:34.129463
ADI,2024-01-19 07:58:33.415151
ADI,2024-01-19 07:58:42.001149
ADI,2024-01-19 07:58:56.915087
ADI\r\n./.tm,2024-01-19 07:59:10.244026
ADI\r\n./.tm,2024-01-19 07:59:25.391253
Alvin,2024-01-19 08:00:00.065519
Alvin,2024-01-19 08:00:17.334506
Alvin,2024-01-19 08:00:23.237191
ADI,2024-01-19 08:00:43.078703
Adi,2024-01-19 08:02:26.187480
Adi,2024-01-19 08:02:35.547576
Adi,2024-01-19 08:02:42.566127
Adi,2024-01-19 08:02:49.835390
Alvin,2024-01-19 08:03:41.714135
Alvin,2024-01-19 08:05:32.363024
Arhan,2024-01-19 08:06:09.866001
Arhan,2024-01-19 08:06:21.660925
Arhan,2024-01-19 08:06:32.563423
Arhan,2024-01-19 08:10:32.011165
Arhan,2024-01-19 08:10:42.667248
Arhan,2024-01-19 09:26:07.087937
Arhan,2024-01-19 09:26:13.944626
Arhan,2024-01-19 09:26:29.803093
Arhan,2024-01-19 09:26:36.696790
Arhan,2024-01-19 09:26:57.464175
Arhan,2024-01-19 09:27:04.118545
Arhan,2024-01-19 09:27:15.461956
Arhan,2024-01-21 10:53:56.915450
Arhan,2024-01-21 10:54:05.569114
Alvin\r\n./.tm,2024-01-21 10:54:39.231994
Alvin\r\n./.tm,2024-01-21 10:54:47.599635
Alvin\r\n./.tm,2024-01-21 10:54:59.036502
Alvin\r\n./.tm,2024-01-21 10:56:38.824373
Alvin,2024-01-21 10:56:54.381034
Alvin\r\n./.tm,2024-01-21 10:57:22.390015
Alvin\r\n./.tm,2024-01-21 10:57:36.685498
Alvin,2024-01-21 10:59:37.895315
Alvin,2024-01-21 11:06:38.076515
Alvin,2024-01-21 11:07:50.343711
Alvin\r\n./.tm,2024-01-21 11:08:47.230420
Arhan,2024-01-21 11:09:27.101772
Alvin\r\n./.tm,2024-01-21 11:09:43.709931
Alvin\r\n./.tm,2024-01-21 11:21:12.773313
Alvin\r\n./.tm,2024-01-21 11:23:32.755841
unknown_person\r\n./.tm,2024-01-21 14:40:50.710781
Alvin\r\n./.tm,2024-01-24 09:56:08.996653
Alvin\r\n./.tm,2024-01-24 09:57:01.119624
Ronaldo,2024-01-24 09:57:28.434940
Juwandito\r\n./.tm,2024-01-24 11:26:38.325297
Alvin,2024-01-26 09:19:05.371007
Alvin,2024-01-28 08:03:58.838044
Alvin,2024-01-28 09:29:24.603760
Alvin,2024-01-29 09:51:14.785659
Alvin,2024-01-29 14:22:00.144597
Alvin,2024-02-04 16:52:17.587078
Alvin,2024-02-04 16:53:10.167266
Alvin,2024-02-04 16:54:03.736354
Alvin,2024-02-04 17:09:48.931846
Alvin,2024-02-04 17:10:48.521530
Alvin,2024-02-04 17:15:17.533687
Alvin,2024-02-04 17:17:58.727961
Alvin,2024-02-04 17:52:18.082376
Alvin,2024-02-04 17:53:26.853725
Alvin,2024-02-04 17:54:08.679174
Alvin,2024-02-04 18:02:32.835664
Alvin,2024-02-04 18:07:12.320189
Alv,2024-02-04 18:18:16.280668
Alv,2024-02-04 18:25:32.137590
Alv,2024-02-04 18:49:54.908199
Alv,2024-02-07 18:48:53.684401
Alvin,2024-02-07 18:51:38.086372
Alvin,2024-02-07 18:52:14.771423
Alvin,2024-02-08 09:30:22.028465
Alvin,2024-02-14 11:18:31.973390
Alvin,2024-02-14 11:55:04.887802
no_persons_found\r,2024-04-13 12:51:03.880169
Alvin\r\n./.tmp.,2024-04-23 07:45:58.512740
Alvin\r\nsiapa/tmp.,2024-04-23 07:47:47.041969
Alvin\r,2024-04-23 07:48:39.954527
Alvin\r,2024-04-23 07:50:57.353595
Alvin\r,2024-04-23 07:52:30.659197
Alvin\r,2024-04-23 07:53:24.643425
Alvin\r,2024-04-23 07:54:06.343669
Alvin\r,2024-04-23 07:54:41.251012
unknown_person\r,2024-04-23 07:55:25.869503
unknown_person\r\,2024-04-23 07:57:13.991788
unknown_person\r\,2024-04-23 08:00:35.243042
unknown_person\r\,2024-04-23 08:01:23.511893
unknown_person\r,2024-04-23 08:05:38.979006
Alvin,2024-04-23 08:13:02.189370
Alvin,2024-04-23 08:14:00.084468
Alvin,2024-04-23 08:48:21.068759
Alvin,2024-04-23 08:50:00.283797
Alvin,2024-04-24 17:46:24.958502
Alvin,2024-04-30 07:11:21.875865
Alvin,2024-04-30 07:11:22.081316
Keke,2024-05-04 07:11:32.177172
Alvin,2024-05-04 07:12:23.094160
Alvin\r\n./siapa/tm,2024-05-04 07:20:47.274676
Alvin\r\n./siapa/tm,2024-05-04 07:22:44.106888
Alvin,2024-05-04 07:33:52.914834
